ID,GENDER,BATCH_CODE,MODE,MACHINE_LEARNING_79,PERCENTAGE_MACHINE_LEARNING,NLP_34,PERCENTAGE_NLP,NUMPY_79,PERCENTAGE_NUMPY,OUTPUT,TARGET
62,Female,DW19,WD,48,63.15789474,30,88.23529412,52,65.82278481,72.40532455,0
63,Male,DW19,WD,50,65.78947368,29,85.29411765,56,70.88607595,73.98988909,0
64,Male,DW19,WD,43,56.57894737,34,100,60,75.94936709,77.50943815,0
65,Female,DW19,WD,47,61.84210526,28,82.35294118,0,0,48.06501548,0
66,Female,DW20,WD,54,71.05263158,27,81.81818182,56,70.88607595,74.58562978,0
67,Female,DW20,WD,59,77.63157895,32,94.11764706,61,77.21518987,82.98813863,1
68,Male,DW20,WD,66,86.84210526,33,97.05882353,67,84.81012658,89.57035179,1
69,Female,DW20,WD,56,73.68421053,30,88.23529412,71,89.87341772,83.93097412,1
70,Female,DW21,WD,62,81.57894737,24,70.58823529,61,77.21518987,76.46079085,0
71,Female,DW21,WD,68,89.47368421,34,100,71,89.87341772,93.11570064,1
72,Female,DW21,WD,63,82.89473684,31,91.17647059,69,87.34177215,87.13765986,1
73,Male,DW21,WD,64,84.21052632,32,94.11764706,73,92.40506329,90.24441222,1
74,Female,DW21,WD,55,72.36842105,32,94.11764706,53,67.08860759,77.85822524,0
75,Male,DW21,WD,68,89.47368421,31,91.17647059,64,81.01265823,87.22093768,1
76,Female,DW21,WD,55,72.36842105,27,79.41176471,60,75.94936709,75.90985095,0
77,Female,DW21,WD,45,59.21052632,29,85.29411765,40,50.63291139,65.04585179,0
78,Male,DW22,WD,36,47.36842105,18,52.94117647,50,63.29113924,54.53357892,0
79,Male,DW22,WD,60,78.94736842,34,100,68,86.07594937,88.34110593,1
80,Male,DW22,WD,42,55.26315789,14,41.17647059,55,69.62025316,55.35329388,0
81,Female,DW22,WD,44,57.89473684,9,26.47058824,55,69.62025316,51.32852608,0
82,Male,DW22,WD,69,90.78947368,34,100,73,92.40506329,94.39817899,1
83,Female,DW22,WD,64,84.21052632,30,88.23529412,72,91.13924051,87.86168698,1
84,Female,DW22,WD,57,75,29,85.29411765,53,67.08860759,75.79424175,0
85,Male,DW22,WD,64,84.21052632,33,97.05882353,75,94.93670886,92.06868624,1
86,Male,DW22,WD,68,89.47368421,33,97.05882353,75,97.4025974,94.64503505,1
87,Female,DW22,WD,70,92.10526316,32,94.11764706,71,92.20779221,92.81023414,1
88,Female,DW22,WD,65,84.41558442,28,82.35294118,73,92.40506329,86.39119629,1
89,Female,DW22,WD,64,84.21052632,28,82.35294118,65,82.27848101,82.94731617,1
90,Male,DW22,WD,28,36.84210526,24,70.58823529,37,46.83544304,51.42192787,0
91,Female,DW22,WD,59,77.63157895,29,85.29411765,69,87.34177215,83.42248958,1
92,Female,DW23,WD,56,73.68421053,32,94.11764706,68,86.07594937,84.62593565,1
93,Female,DW23,WD,58,76.31578947,31,93.93939394,58,73.41772152,81.22430164,1
94,Male,DW23,WD,62,81.57894737,32,94.11764706,61,77.21518987,84.3039281,1
95,Female,DW23,WD,55,72.36842105,31,91.17647059,60,75.94936709,79.83141958,0
96,Female,DW23,WD,65,85.52631579,32,94.11764706,61,77.21518987,85.61971757,1
97,Male,DW23,WD,54,71.05263158,30,88.23529412,66,83.5443038,80.9440765,1
98,Female,DW23,WD,66,86.84210526,32,94.11764706,77,97.46835443,92.80936892,1
99,Male,DW23,WD,63,82.89473684,33,97.05882353,68,86.07594937,88.67650325,1
100,Female,DW23,WD,64,84.21052632,33,97.05882353,68,86.07594937,89.11509974,1
101,Female,DW23,WD,57,75,33,97.05882353,75,94.93670886,88.9985108,1
102,Female,DW23,WD,65,85.52631579,28,82.35294118,63,79.74683544,82.5420308,1
103,Female,DW23,WD,56,73.68421053,28,82.35294118,58,73.41772152,76.48495774,0
104,Male,DW23,WD,55,72.36842105,21,61.76470588,50,63.29113924,65.80808873,0
105,Female,DW23,WD,45,59.21052632,12,35.29411765,33,41.7721519,45.42559862,0
106,Male,DW23,WD,57,75,32,94.11764706,37,46.83544304,71.98436337,0
107,Female,DW23,WD,65,85.52631579,31,91.17647059,59,74.6835443,83.79544356,1
108,Female,DW24,WD,41,53.94736842,29,85.29411765,64,81.01265823,73.4180481,0
109,Female,DW24,WD,58,76.31578947,31,91.17647059,68,86.07594937,84.52273648,1
110,Male,DW24,WD,64,84.21052632,33,97.05882353,24,30.37974684,70.54969889,0
111,Male,DW24,WD,64,84.21052632,34,100,67,84.81012658,89.67355097,1
112,Female,DW24,WD,58,76.31578947,28,82.35294118,64,81.01265823,79.89379629,0
113,Male,DW24,WD,51,67.10526316,32,94.11764706,66,83.5443038,81.58907134,1
114,Female,DW24,WD,48,63.15789474,32,94.11764706,64,81.01265823,79.42940001,0
115,Female,DW24,WD,64,84.21052632,32,94.11764706,72,91.13924051,89.82247129,1
116,Female,DW24,WD,57,75,34,100,48,60.75949367,78.58649789,0
117,Male,DW24,WD,50,65.78947368,31,91.17647059,48,60.75949367,72.57514598,0
118,Female,DW24,WD,66,86.84210526,33,97.05882353,76,96.20253165,93.36782015,1
119,Female,DW24,WD,63,82.89473684,25,73.52941176,57,72.15189873,76.19201578,0
120,Male,DW24,WD,48,63.15789474,22,64.70588235,60,75.94936709,67.93771473,0
121,Male,DW24,WD,61,80.26315789,25,73.52941176,51,64.55696203,72.78317723,0
