ID,GENDER,BATCH_CODE,MODE,STATISTICS_76,PERCENTAGE_STATISTICS,TEXT_IMAGE_41,PERCENTAGE_TEXT_IMAGE,DATA_ENGINEERING_77,PERCENTAGE_DATA_ENGINEERING,DATA_VISUALIZATION_75,PERCENTAGE_DATA_VISUALIZATION,OUTPUT,TARGET
251,Female,D42,WE,22,30.1369863,22,53.65853659,35,47.2972973,36,50.70422535,45.44926138,0
252,Female,D42,WE,32,43.83561644,24,58.53658537,39,52.7027027,46,64.78873239,54.96590923,0
253,Female,D42,WE,51,69.8630137,35,85.36585366,50,67.56756757,54,76.05633803,74.71319324,0
254,Female,D42,WE,61,83.56164384,33,80.48780488,70,94.59459459,65,91.54929577,87.54833477,1
255,Female,D42,WE,60,82.19178082,29,70.73170732,54,72.97297297,62,87.32394366,78.30510119,0
256,Male,D42,WE,44,60.2739726,32,78.04878049,48,67.6056338,46,64.78873239,67.67927982,0
257,Female,D42,WE,55,75.34246575,37,90.24390244,46,62.16216216,47,67.14285714,73.72284687,0
258,Male,D43,WE,64,87.67123288,31,75.6097561,64,86.48648649,59,83.09859155,83.21651675,1
259,Female,D43,WE,41,56.16438356,28,68.29268293,54,72.97297297,58,81.69014085,69.78004508,0
260,Female,D43,WE,51,69.8630137,26,63.41463415,56,75.67567568,58,81.69014085,72.66086609,0
261,Male,D43,WE,68,93.15068493,31,75.6097561,54,72.97297297,55,77.46478873,79.79955068,0
262,Male,D44,WE,42,57.53424658,32,78.04878049,49,69.01408451,46,65.71428571,67.57784932,0
263,Female,D45,WE,53,72.60273973,33,80.48780488,56,75.67567568,60,84.50704225,78.31831563,0
264,Female,D45,WE,64,87.67123288,38,92.68292683,63,85.13513514,57,80.28169014,86.44274625,1
265,Female,D45,WE,61,83.56164384,37,90.24390244,52,70.27027027,52,73.23943662,79.32881329,0
266,Female,D45,WE,68,93.15068493,36,90,69,93.24324324,65,91.54929577,91.98580599,1
267,Male,D46,WE,65,89.04109589,40,97.56097561,59,83.09859155,58,82.85714286,88.13945148,1
268,Female,D49,WE,70,92.10526316,39,95.12195122,57,74.02597403,59,78.66666667,84.97996377,1
